Rqt,Priority,Function,Requirement
716785,High,,"Store, display and utilize seating position of each vehicle occupant."
716786,High,,"Store, display and utilize occupant protection system used by each occupant and whether it was used properly."
716787,High,,"Store, display and utilize whether a DOT approved helmet was used by each occupant."
716788,High,,"Store, display and utilize whether an airbag was deployed for each occupant."
716789,High,,"Store, display and utilize whether each occupant was trapped/extricated or ejected and the ejection path."
,,,"Section:PL-Safety Management, Driver and Vehicle Passenger Data (12 Reqs)"
716790,High,,"Store, display and utilize whether each occupant was transported to a medical facility and if so by whom."
716791,High,,"Store, display and utilize EMS agency id and EMS run number for each occupant."
716792,High,,"Store, display and utilize receiving medical facility and date/time of arrival for each occupant."
716793,High,,"Store, display and utilize the date, time and place of death if an occupant is killed as a result of the crash."
,,,"Section:PL-Safety Management, Crash Report Statements (5 Reqs)"
716794,Medium,,"Store, display and utilize in analysis statements from various parties documented in the crash report."
716795,Medium,,"Store, display and utilize statements of each involved driver."
716796,Medium,,"Store, display and utilize statements of each involved passengers."
716797,Medium,,"Store, display and utilize statements of each involved non-motorist."
716798,Medium,,"Store, display and utilize statements of each uninvolved witness."
,,,"Section:PL-Safety Management, Non Motorist Data (27 Reqs)"
716799,High,,"Store, display and utilize in analysis non motorist data from the crash report."
716800,High,,"Store, display and utilize unique individual # from the crash report for each involved non motorist."
716801,High,,"Store, display and utilize non motorist type (for example pedestrian, bicyclist, etc.) for each involved non motorist."
716802,High,,"Store, display and utilize age and gender for each involved non motorist."
716803,High,,"Store, display and utilize nature of injuries for each involved non motorist."
716804,High,,"Store, display and utilize vehicle number striking each non motorist."
716805,High,,"Store, display and utilize non motorist action for each non motorist prior to the crash."
716806,High,,"Store, display and utilize non motorist location for each non motorist prior to the crash."
716807,High,,"Store, display and utilize any contributing actions by each non-motorist (multiple)."
716808,High,,"Store, display and utilize safety equipment used by each non motorist (multiple)."
716809,High,,"Store, display and utilize each non motorist's traffic control device (multiple)."
716810,High,,"Store, display and utilize whether each non motorist was transported to a medical facility and if so by whom."
716811,High,,"Store, display and utilize EMS agency id and EMS run number for each non motorist."
716812,High,,"Store, display and utilize receiving medical facility and date/time of arrival for each non motorist."
716813,High,,"Store, display and utilize date, time and place of death if a non motorist is killed as a result of the crash."
,,,"Section:PL-Safety Management, Non Motorist Data (27 Reqs)"
716814,High,,"Store, display and utilize whether alcohol use was suspected by each non motorist."
716815,High,,"Store, display and utilize whether an alcohol test was given to each non motorist."
716816,High,,"Store, display and utilize the type of alcohol test given to each non motorist."
716817,High,,"Store, display and utilize preliminary breath test (PBT) results for each non motorist."
716818,High,,"Store, display and utilize blood alcohol content (BAC) results for each non motorist."
716819,High,,"Store, display and utilize whether drug use was suspected by each non motorist."
716820,High,,"Store, display and utilize whether a drug test was given to each non motorist."
716821,High,,"Store, display and utilize type of drug test given to each non motorist (multiple)."
716822,High,,"Store, display and utilize drug test results for non motorist (multiple)."
716823,High,,"Store, display and utilize driver distractions for each non motorist (multiple)."
716824,High,,"Store, display and utilize known or suspected violations by each non motorist (multiple)."
716825,High,,"Store, display and utilize citations issued to each non motorist including citation number, charge and whether it was a warning."
,,,"Section:PL-Safety Management, Commercial Motor Vehicle Data (16 Reqs)"
716826,High,,"Store, display and utilize in analysis the commercial motor vehicle (CMV) data in the crash report for each commercial vehicle  involved in the crash."
716827,High,,"Store, display and utilize the unique vehicle number on the crash report for each CMV."
716828,High,,"Store, display and utilize the carrier classification for each CMV."
716829,High,,"Store, display and utilize the carrier information source for each CMV."
716830,High,,"Store, display and utilize whether hazardous materials were released from the cargo compartment of each CMV."
716831,High,,"Store, display and utilize whether the crash occurred on a CRTS route."
716832,High,,"Store, display and utilize commercial vehicle configuration for each CMV."
716833,High,,"Store, display and utilize commercial cargo body type for each CMV."
716834,High,,"Store, display and utilize gross vehicle weight rating (GVWR) of power unit for each CMV."
716835,High,,"Store, display and utilize gross combination weight rating (GCWR) of all units for each CMV."
716836,High,,"Store, display and utilize last known commodity being carried for each CMV."
716837,High,,"Store, display and utilize whether the cargo compartment was full or empty at the time of the crash for each CMV."
716838,High,,"Store, display and utilize the number of passengers in each CMV."
716839,High,,"Store, display and utilize whether passengers were travelling with permission of the carrier in each CMV."
,,,"Section:PL-Safety Management, Commercial Motor Vehicle Data (16 Reqs)"
716840,High,,"Store, display and utilize whether each CMV was self-insured."
716841,High,,"Store, display and utilize whether there was proof of self-insurance for each CMV."
,,,"Section:PL-Safety Management, Transportation Asset Inventory (23 Reqs)"
716842,Medium,,Integrate with the transportation asset inventory function to obtain information about and support analysis related to roadway and  other transportation inventory features at or adjacent to a crash site.
716843,Medium,,Provide information about and support analysis using a range of transportation asset inventory information.
716844,Medium,,Display and utilize in analysis roadway classification information.
716845,Medium,,Display and utilize in analysis paved surface characteristics.
716846,Medium,,Display and utilize in analysis the number and type of travel lanes.
716847,Medium,,Display and utilize in analysis characteristics of the shoulders and medians.
716848,Medium,,Display and utilize in analysis access control information.
716849,Medium,,Display and utilize in analysis bike lane information.
716850,Medium,,Display and utilize in analysis bike/pedestrian path characteristics.
716851,Medium,,Display and utilize in analysis runaway truck ramp characteristics.
716852,Medium,,Display and utilize in analysis truck pull-off area information.
716853,Medium,,"Display and utilize in analysis other roadside features such as landscaping/plantings, mowable areas, non-mowable areas, right- of-way fencing and stabilized slopes."
716854,Medium,,Display and utilize in analysis curve and grade information.
716855,Medium,,Display and utilize in analysis traffic control devices.
716856,Medium,,Display and utilize in analysis any posted advisory speeds.
716857,Medium,,Display and utilize in analysis intersection features.
716858,Medium,,Display and utilize in analysis interchanges and ramps.
716859,Medium,,Display and utilize in analysis bridge and other structures information.
716860,Medium,,Display and utilize in analysis tunnel information.
716861,Medium,,Display and utilize in analysis rail grade crossing information.
716862,Medium,,Display and utilize in analysis traffic volumes.
716863,Medium,,Provide ability to link to Application Xtender or WVDOT CAD environment to view as-built plans.
716864,Medium,,Provide ability to link to and view aerial photography from within the safety management function.
,,,"Section:PL-Safety Management, Asset Conditions (8 Reqs)"
716865,High,,Provide information about and support analysis using condition information for various elements on the transportation network at  or adjacent to the crash site.
716866,High,,Integrate with the ERP transportation asset inventory function and the ERP pavement management function to obtain pavement  condition data at the crash site at time of a crash.
716867,High,,Integrate with the ERP transportation asset inventory function and the ERP pavement management function to obtain the  available history of pavement conditions at the crash site.
716868,Medium,,Integrate with the ERP transportation asset inventory function to obtain available condition assessment data at the time of the  crash for other roadway inventory features at the crash site.
716869,Medium,,Integrate with the ERP transportation asset inventory function to obtain a history of condition assessment data for other roadway  inventory features at the crash site.
716870,Medium,,Integrate with the ERP transportation asset inventory function to obtain available condition assessment data at the time of the  crash for roadside features at or in the proximity of the crash site.
716871,Medium,,Integrate with the ERP transportation asset inventory function to obtain a history of condition assessment data for other roadside  features at or in the proximity of the crash site.
716872,Medium,,Integrate with the RoadWare application to allow a user to view available video and associated data of crash site from within the  safety management function.
,,,"Section:PL-Safety Management, Maintenance History (3 Reqs)"
716873,Medium,,Integrate with the ERP transportation asset inventory and transportation operations management function to obtain and display a  history of maintenance activity at or in the proximity of the crash site.
716874,Medium,,Identify maintenance activities in progress at the time of a particular crash event.
716875,Medium,,"Identify maintenance activities required as the result of a particular crash event including the cost of clean-up and repair (labor,  equipment, materials)."
,,,"Section:PL-Safety Management, Construction History (1 Reqs)"
716876,Medium,,"Integrate with the ERP transportation asset inventory function, ERP project management function and WVDOT Construction  Management application (SiteManager or other) to obtain and display construction history for the road segment or major asset  features (for example the structure)."
,,,"Section:PL-Safety Management, Current or Proposed Construction Projects (2 Reqs)"
716877,Medium,,"Integrate with the ERP project management function, WVDOT Primavera application and WVDOT Construction Management  application (SiteManager or other) to obtain and display information about current or in progress construction projects."
716878,Medium,,Identify any construction projects in progress at the time of a crash event.
,,,"Section:PL-Safety Management, Driver History (15 Reqs)"
716879,High,,Provide information about and support analysis using driver history information for drivers involved in a crash event.
716880,High,,Integrate with West Virginia DMV drivers license system to obtain and store in the safety management function additional  demographic and statistical information about West Virginia licensed drivers involved in a crash.
716881,High,,"Store, display and utilize driver license class."
716882,High,,"Store, display and utilize endorsements."
716883,High,,"Store, display and utilize driver license status at the time of the crash."
716884,High,,"Store, display and utilize current driver license status."
716885,High,,"Store, display and utilize driver license restrictions at the time of the crash."
716886,High,,"Store, display and utilize current driver license restrictions."
716887,High,,"Store, display and utilize number of convictions previous five years."
716888,High,,"Store, display and utilize a list of prior convictions with ability to drill down to more detailed information."
716889,High,,Display a list of a driver's previous crashes from the crash history data.
716890,High,,Allow a user to select a crash event and drill down to review detailed crash information.
716891,High,,Display a list of a driver's previous citations from the citation history data.
716892,High,,Allow a user to select a citation issued to the driver and drill down to review detailed crash information.
716893,Medium,,Allow authorized users to make adjustments to driver history information within the ERP safety management function to support  required data corrections.
,,,"Section:PL-Safety Management, Vehicle History (6 Reqs)"
716894,High,,Provide information about and support analysis using vehicle history information for vehicles involved in a crash event.
716895,High,,Integrate with the West Virginia DMV vehicle registration system and the R.L. Polk Vehicle Identification Number Analysis  software to obtain vehicle specific data.
716896,High,,"Store, display and utilize vehicle manufacturer, make, model."
716897,High,,"Store, display and utilize year manufactured."
716898,High,,"Store, display and utilize motor vehicle body type."
716899,Medium,,Allow authorized users to make adjustments to vehicle history information within the ERP safety management function to support  required data corrections.
,,,"Section:PL-Safety Management, EMS Data (14 Reqs)"
716900,Medium,,Provide information about and support analysis using EMS run reports for crash events.
,,,"Section:PL-Safety Management, EMS Data (14 Reqs)"
716901,Medium,,Provide an open interface to allow for capture and storing of EMS run reports provided in electronically in a standardized format.
716902,Medium,,Allow an authorized user to enter/modify EMS run reports or correct data in an interfaced EMS run report online in the safety  management function.
716903,Medium,,"Store, display and utilize crash report number."
716904,Medium,,"Store, display and utilize EMS agency identification number."
716905,Medium,,"Store, display and utilize EMS run number."
716906,Medium,,"Store, display and utilize time dispatched."
716907,Medium,,"Store, display and utilize time arrived at scene."
716908,Medium,,"Store, display and utilize distance traveled to scene."
716909,Medium,,"Store, display and utilize number of individuals transported."
716910,Medium,,"Store, display and utilize driver license number or other identifier for individuals transported."
716911,Medium,,"Store, display and utilize location transported to."
716912,Medium,,"Store, display and utilize duration of trip (miles)."
716913,Medium,,"Store, display and utilize duration of trip (minutes)."
,,,"Section:PL-Safety Management, Injury Data (10 Reqs)"
716914,High,,Provide information about and support analysis using injury data for crash events.
716915,High,,Integrate with the State Trauma Registry to obtain injury data from health/hospital agencies.
716916,High,,Allow an authorized user to enter/modify injury data or correct data in an interfaced injury report online in the ERP safety  management function.
716917,High,,"Store, display and utilize crash report number."
716918,High,,"Store, display and utilize hospital reporting."
716919,High,,"Store, display and utilize report date."
716920,High,,"Store, display and utilize driver/passenger identifier."
716921,High,,"Store, display and utilize injury types (multiple)."
716922,High,,"Store, display and utilize injury description."
716923,High,,Allow for designation of a fatal accident when fatal injuries are reported within 30 days to the minute of crash of hospitalization for  a crash event.
,,,"Section:PL-Safety Management, Citation Data (45 Reqs)"
716924,High,,Provide information about and support analysis using citation data for drivers involved in a crash event.
716925,High,,Integrate with the West Virginia Uniform Citation Database to allow for electronic transfer of citation data from law enforcement.
716926,Medium,,Allow an authorized user to enter and update citation data online in the ERP safety management function on an exception basis.
716927,High,,"Store, display and utilize crash report number."
716928,High,,"Store, display and utilize citation number."
716929,High,,"Store, display and utilize offense type (traffic or criminal)."
716930,High,,"Store, display and utilize whether a warning was issued (Y/N)."
716931,High,,"Store, display and utilize day of week."
716932,High,,"Store, display and utilize citation date and time."
716933,High,,"Store, display and utilize license type."
716934,High,,"Store, display and utilize license number."
716935,High,,"Store, display and utilize license state."
716936,High,,"Store, display and utilize driver license demographic information including date of birth, gender, weight, height and eye color for  out of state drivers."
716937,High,,"Store, display and utilize driver license class, license restrictions and endorsements for out of state drivers."
716938,High,,"Store, display and utilize license plate number."
716939,High,,"Store, display and utilize state of registration."
716940,High,,"Store, display and utilize plate class."
716941,High,,"Store, display and utilize vehicle identification number."
716942,High,,"Store, display and utilize make as documented on citation."
716943,High,,"Store, display and utilize model year as documented on citation."
716944,High,,"Store, display and utilize color."
716945,High,,"Store, display and utilize whether the driver is the same as the vehicle owner (Y/N)."
716946,High,,"Store, display and utilize fatal crash indicator."
716947,High,,"Store, display and utilize commercial motor vehicle (CMV) indicator."
716948,High,,"Store, display and utilize DOT carrier number."
716949,High,,"Store, display and utilize bill of lading information."
716950,High,,"Store, display and utilize shipper identification number."
716951,High,,"Store, display and utilize Coal Resource Transportation System (CRTS) indicator (Y/N)."
,,,"Section:PL-Safety Management, Citation Data (45 Reqs)"
716952,High,,"Store, display and utilize CRTS permit number."
716953,High,,"Store, display and utilize county."
716954,High,,"Store, display and utilize municipality."
716955,High,,"Store, display and utilize highway class."
716956,High,,"Store, display and utilize route."
716957,High,,"Store, display and utilize sub route."
716958,High,,"Store, display and utilize milepost."
716959,High,,"Store, display and utilize direction of travel."
716960,High,,"Store, display and utilize latitude."
716961,High,,"Store, display and utilize longitude."
716962,High,,"Store, display and utilize street/road name."
716963,High,,"Store, display and utilize specific reference or landmark."
716964,High,,"Store, display and utilize citation charge #1."
716965,High,,"Store, display and utilize citation charge #2."
716966,High,,"Store, display and utilize investigating agency ORI #."
716967,High,,"Store, display and utilize Investigating agency name."
716968,High,,"Store, display and utilize Investigating officer number and name."
,,,"Section:PL-Safety Management, Conviction Data (8 Reqs)"
716969,Medium,,Provide information about and support analysis using conviction data for drivers involved in a crash event.
716970,Medium,,Provide an open interface to allow for electronic transfer of conviction data from the DMV driver license system or court  management systems.
716971,Medium,,Allow an authorized user to enter and update conviction data online in the SMS function.
716972,Medium,,"Store, display and utilize crash report number."
716973,Medium,,"Store, display and utilize citation number."
716974,Medium,,"Store, display and utilize conviction date."
716975,Medium,,"Store, display and utilize county/jurisdiction."
716976,Medium,,"Store, display and utilize convictions (multiple)."
,,,"Section:PL-Safety Management, Reports and Queries (10 Reqs)"
716977,Medium,,"Provide pre-defined listing reports for crash events using a variety of selection criteria including crash type and one or more  additional attributes. Examples of additional attributes include: highway system (All, Interstate, NHS, etc); Statewide; district;  county; route; from/to mile point; range of latitude and longitude; condition rating for an asset type in the form of a range of the  converted letter grade for performance or physical condition; a date range for asset installation date, etc."
716978,Medium,,Allow a user to select a crash event and drill down from a list of the results of a predefined report displayed in tabular format  online to the detailed information screens for the selected crash.
716979,Medium,,"Allow users to build ad-hoc queries to report on any fields in the safety management and transportation asset inventory functions  using one or a combination of different criteria. At a minimum, this ad-hoc query tool must allow a user to select based on crash  type; severity; fatal accidents; highway system (all, Interstate, NHS, etc.); location as defined by Statewide, district, county, route;  from/to mile point; condition rating for roadway or other assets, driver history, vehicle history, etc. This ad-hoc query function  must also allow users to select the specific attributes to be displayed for crash events meeting the selected criteria from a list of  all potential fields."
716980,Medium,,Display the results from the ad-hoc query tool in a tabular screen format or on a printed report or display the results in the GIS  viewer.
716981,Medium,,Allow a user from a tabular results display to select a crash event and drill down from the results of the ad-hoc query to the  detailed information screens for the selected crash.
716982,Medium,,Allow a user to save for later execution a pre-defined report or ad-hoc query with a set of specific selection criteria. The user  must be prompted to provide a descriptive name for this saved report.
716983,Medium,,Provide users with a personalized report menu which provides a list of saved reports by the user-defined descriptive name for  user selection and execution.
716984,Medium,,Allow a user to authorize one or more additional users to have access to a saved predefined report or ad-hoc query.
716985,Medium,,Display any saved predefined reports or ad-hoc queries authorized by one user for use by a second user on the second user's  personalized reports menu.
716986,Medium,,Support export of query results to SAS or another user defined statistical analysis tool.
,,,"Section:PL-Safety Management, Collision Diagramming (3 Reqs)"
716987,Medium,,Provide collision diagramming capability within the ERP safety management function.
716988,Medium,,Provide the ability to display collision diagrams from the crash reports.
716989,Medium,,Provide the ability to export collision data from the crash report to a user defined collision diagramming tool (for example  Intersection Magic).
,,,"Section:PL-Safety Management, Analysis Tools (9 Reqs)"
716990,Medium,,Support sliding scale analysis.
716991,Medium,,Provide cost/benefit analysis capabilities.
,,,"Section:PL-Safety Management, Analysis Tools (9 Reqs)"
716992,Medium,,"Allow for ranking of high crash locations for various breakouts/groupings including statewide, highway system, district, county, etc."
716993,Medium,,"Calculate crash rates and critical crash rates for various breakouts/groupings including statewide, highway system, district,  county, etc."
716994,Medium,,Calculate crash rates for homogenous intersections and highway sections.
716995,Medium,,"Identify over-representation of crash types at intersections and for highway sections for various breakouts/groupings including  statewide, highway system, district, county, etc."
716996,Medium,,"Support pre and post improvement crash rate analyses for various breakouts/groupings including statewide, highway system,  district, county, etc."
716997,Medium,,Provide the ability to export crash data to McTrans Highway Capacity software.
716998,Medium,,Provide the ability to export crash data to TrafficWare Syncro Studio 7 modeling software.
,,,"Section:PL-Safety Management, Safety Grants (18 Reqs)"
716999,Medium,,"Integrate with ERP grants management, procurement and accounts payable functions to provide full life cycle support for  management of safety grants."
717000,Medium,,Support multiple safety grant programs including grants programs administered by WVDOT and the West Virginia State Police.
717001,Medium,,Publish grant opportunities to the Internet via the ERP self-service capabilities.
717002,Medium,,Support online collection of application data.
717003,Medium,,Capture anticipated grant objectives and performance measures.
717004,Medium,,Support online review of grant applications.
717005,Medium,,Provide ability to evaluate and rank grant proposals online.
717006,Medium,,Document datasets utilized to support evaluation of grant proposals.
717007,Medium,,Provide an electronic work flow for review and approval of grant results based on user-defined business rules.
717008,Medium,,Publish grant results to the Internet via the ERP self-service capabilities.
717009,Medium,,Integrate with ERP procurement and grants management function to establish grant agreement and purchase order.
717010,Medium,,Support online entry of required periodic grant reports through ERP self-service capability.
717011,Medium,,Support online submission of grant invoices.
717012,Medium,,Provide electronic workflow approval of grant invoices.
717013,Medium,,Integrate with ERP accounts payable to support payment of grant invoices.
717014,Medium,,Support grantee reporting of actual results against performance measures.
717015,Medium,,Allow authorized users to enter independent evaluation/results against performance measures.
,,,"Section:PL-Safety Management, Safety Grants (18 Reqs)"
717016,Medium,,Document datasets utilized in evaluating grant outcomes.
,,,"Section:PL-Safety Management, Safety Projects (13 Reqs)"
717017,High,,Define and document each candidate safety project.
717018,High,,Create a unique identifier for each candidate project (fiscal year identified and unique sequence number) to allow for referencing  of candidate projects.
717019,High,,Capture project description.
717020,High,,Store project location using county/route/milepost and geospatial referencing.
717021,High,,Document initial project cost estimate.
717022,High,,"Maintain a history of project cost estimates including date of cost estimate, amount and reasons for any change in estimated cost."
717023,High,,Document key project elements and activities.
717024,High,,Document expected project outcomes in the form of improvements in various safety related metrics.
717025,Medium,,Provide the ability to extract and save before project snapshots of key safety related data and parameters to allow for evaluating  and measuring outcomes of safety projects.
717026,High,,Store WVDOT project number(s) for projects which are approved and programmed.
717027,Medium,,Integrate with ERP project management and the WVDOT Primavera Program and Project Management application to obtain  actual cost and schedule/duration information for projects.
717028,High,,Support documentation of project outcomes as measured by various safety related metrics.
717029,Medium,,"Provide the ability to extract and save after project snapshots of key safety related data and parameters to allow for  documenting, evaluating and measuring outcomes of safety projects."
,,,"Section:PL-Safety Management, GIS Integration (7 Reqs)"
717030,High,,Provide a full featured GIS viewer within the safety management function which integrates with WVDOT's existing ESRI ArcGIS  environment.
717031,Medium,,Provide capability to print as a map any results which are spatially displayed by the GIS viewer from within the safety  management function.
717032,Medium,,"Provide the capability to spatially map a specific crash or set of crashes meeting a specific set of criteria from the safety  management function. While looking at a list of crashes or detailed information about an individual crash within the safety  management function, the user must be able to select ""map the asset"" and see the location of the crash or crashes displayed  spatially by the GIS viewer within the safety management function."
,,,"Section:PL-Safety Management, GIS Integration (7 Reqs)"
717033,Medium,,"Provide the capability to spatially map a set of crashes meeting a specific set of selection criteria from the safety management  function. The user must be able to enter a set of search criteria in the safety management function and obtain a tabular list of  crashes meeting that criterion. The user must then be able to select ""map crashes"" and see these crashes displayed spatially by  the GIS viewer within the safety management function."
717034,Medium,,Provide the capability to enter a set of selection criteria for an ad-hoc query of safety management data and request that the  results be displayed spatially by the GIS viewer within the safety management function.
717035,Medium,,Provide the ability for a user to select an area of interest from within WVDOT's GIS application and request that all crashes in  that area or all crashes in that area meeting certain user defined criteria stored in the safety management function be spatially  displayed on a map within WVDOT's GIS.
717036,Medium,,Provide the ability to select one or more crashes from the map of crashes within an area displayed in the WVDOT GIS  application and drill down to see the detailed information about the specific crash or crashes within the safety management  application.
,,,"Section:PL-Safety Management, Data Management (2 Reqs)"
717037,High,,Provide the ability to flag and archive historical collision records based upon realignment or retirement information.
717038,High,,Allow inclusion or exclusion at user option for analysis purposes of crash information where the crash event occurred on road  segments which have been re-aligned or retired since the crash event.
,,,"Section:PL-Safety Management, Document Management (1 Reqs)"
717039,Medium,,Support integration with EMC Application Xtender environment to allow storage and linking of documents related to crash history  and other crash related information with data stored in the safety management function.
,,,"Section:PL-Transportation Asset Inventory, General (5 Reqs)"
717040,High,,Provide a flexible/extensible asset data repository to support managing all types of assets on the transportation network.
717041,High,,"Support all transportation modes including highways, tolled facilities, road and bridge infrastructure within State park facilities,  rails, transit, ports and airports."
717042,High,,"Support tracking of assets in which WVDOT is the owner/operator and assets in which WVDOT is a grantor or funding partner  such as airports, ports and transit facilities."
717043,High,,"Integrate as required with the other transportation asset management functions within ERP including bridge management,  pavement management, transportation operations management and safety management."
717044,High,,"Integrate as required with other ERP functions including but not limited to asset management, grants management, project  management, facilities management, fleet management, real estate management and right-of-way and utilities."
,,,"Section:PL-Transportation Asset Inventory, Asset Classes (4 Reqs)"
717045,High,,Allow system administrator or other authorized user to define different asset classes.
717046,High,,Store full name of asset class (for example: Pavement).
717047,High,,Store an asset class code that users can utilize in selecting asset classes for reports and other system functions.
717048,High,,Store an authorized asset class owner who must be a valid user as defined in the ERP personnel administration and security  functions.
,,,"Section:PL-Transportation Asset Inventory, Asset Types (7 Reqs)"
717049,High,,Provide capability for the system administrator or other authorized user to define different asset types.
717050,High,,Store full name of asset type (for example Rigid Pavement).
717051,High,,Store an asset type code that users can utilize in selecting asset types for reports and other system functions.
717052,High,,Allow system administrator or other authorized user to assign an asset type to a valid asset class.
717053,High,,"Allow the system administrator or other authorized user to define the types of information to be stored in the system for each  asset type, the size of the data field, the characteristics of this information (alphanumeric or numeric), and the valid values or  range of valid values for each data field."
717054,Medium,,Provide the ability for an authorized user to create templates for each asset type to facilitate entry and maintenance of individual  assets into the system.
717055,Low,,Provide ability to create fields with target dates established using user defined formulas.
,,,"Section:PL-Transportation Asset Inventory, Codes Tables (8 Reqs)"
717056,High,,Provide capability for system administrator to manage and update various codes tables which contain valid values for various  types of data stored in the system.
,,,"Section:PL-Transportation Asset Inventory, Codes Tables (8 Reqs)"
717057,High,,Provide a district number codes table.
717058,High,,Provide a county code table.
717059,High,,Provide a sub station or other maintenance shop code table.
717060,High,,Provide a functional classification code table.
717061,High,,Provide a national highway system code table.
717062,High,,Provide a municipality code table.
717063,High,,Provide the capability for various other user defined code tables.
,,,"Section:PL-Transportation Asset Inventory, Route Network (42 Reqs)"
717064,High,,Provide capability for system administrator or other authorized user to add and maintain route segments on the transportation  route network .
717065,High,,Store county number.
717066,High,,Store municipal code.
717067,High,,"Store route prefix (IS, US, WV, CO, HA, PF, NS etc.)."
717068,High,,Store route number.
717069,High,,Store route suffix .
717070,High,,"Store mainline type (Expressway, Trunk line, Feeder, SLS)."
717071,High,,Store number of lanes.
717072,High,,Store direction of travel.
717073,High,,Store divided/undivided.
717074,High,,Store associated prefix.
717075,High,,Store exit Number.
717076,High,,Store ramp Number.
717077,High,,"Maintain asset owner (A WVDOT district, Parkways Authority, State Rail Authority, Division of Natural Resources, an adjoining  state, etc.)."
717078,High,,"Define organization responsible for maintaining asset (A WVDOT district, Parkways Authority, State Rail Authority, Division of  Natural Resources, an adjoining state, etc.)."
717079,High,,"Store class (Interstate, Primary, Secondary, Expressway, Trunk line, Feeder)."
717080,High,,Store National Highway System (NHS) Code.
717081,High,,Store legislatively designated name.
,,,"Section:PL-Transportation Asset Inventory, Route Network (42 Reqs)"
717082,High,,Store local street name.
717083,High,,Store Federal-Aid designation.
717084,High,,Store Appalachian Development Highway (APD) Corridor indicator.
717085,High,,Store emergency route designation indicator.
717086,High,,Store school bus route indicator.
717087,High,,Store commercial route indicator.
717088,High,,Store Coal Resource Transportation System route indicator.
717089,High,,Store mail route indicator.
717090,Medium,,Store Federal Lands Highway indicator.
717091,High,,Store functional class.
717092,High,,Store sub station or other maintenance shop primarily responsible for maintaining the route.
717093,High,,Store beginning mile point within county.
717094,High,,Store ending mile point within county.
717095,High,,Store average daily traffic (ADT).
717096,High,,Store traveled surface width.
717097,High,,Store terrain type.
717098,Medium,,Store elevation.
717099,Medium,,Store grade width.
717100,Medium,,Store median type.
717101,Medium,,Store median width.
717102,Medium,,Store shoulder types.
717103,Medium,,Store shoulder width.
717104,High,,Store year constructed.
717105,High,,Integrate with WVDOT GIS and WVDOT linear referencing system to obtain updates to the route network.
,,,"Section:PL-Transportation Asset Inventory, Asset Inventory - All Assets (2 Reqs)"
717106,High,,Allow system to store an inventory of various unique assets of different asset types.
717107,High,,"Identify the location of an asset on the transportation network through multiple location referencing schemes, including linear  referencing and geo-referencing."
,,,"Section:PL-Transportation Asset Inventory, Asset Inventory - Linear Assets (22 Reqs)"
717108,High,,Store county.
717109,High,,Store municipality.
717110,High,,Store route prefix.
717111,High,,Store route number.
717112,High,,Store route suffix.
717113,High,,Store mainline type.
717114,High,,Store direction.
717115,High,,Store associated prefix.
717116,High,,Store exit number or established exit name for routes with non-numbered interchanges.
717117,High,,Store ramp number.
717118,High,,"Store route supplemental description (i.e. Toll, Alt, Spur)."
717119,High,,"Store asset owner (WVDOT district, Parkways Authority, State Rail Authority, Division of Natural Resources, an adjoining state,  etc.)."
717120,High,,"Store organization responsible for maintaining asset (WVDOT district, Parkways Authority, State Rail Authority, Division of  Natural Resources, an adjoining state, etc.)."
717121,High,,Store route ID number.
717122,High,,Store sub station or other maintenance shop responsible for maintaining the asset.
717123,High,,Store beginning mile point (within the county).
717124,High,,Store ending mile point (within the county).
717125,High,,Store beginning latitude.
717126,High,,Store beginning longitude.
717127,High,,Store ending latitude.
717128,High,,Store ending longitude.
717129,High,,Store year constructed or installed.
,,,"Section:PL-Transportation Asset Inventory, Asset Inventory - Point Assets (23 Reqs)"
717130,High,,Store county.
717131,High,,Store municipality.
717132,High,,Store route prefix.
,,,"Section:PL-Transportation Asset Inventory, Asset Inventory - Point Assets (23 Reqs)"
717133,High,,Store route number.
717134,High,,Store route suffix.
717135,High,,Store mainline type.
717136,High,,Store direction.
717137,High,,Store associated prefix.
717138,High,,Store exit number or established exit name for routes with non-numbered interchanges.
717139,High,,Store ramp number.
717140,High,,Store route ID number.
717141,High,,"Store route supplemental description (i.e. Toll, Alt, Spur)."
717142,High,,"Store asset owner (WVDOT district, Parkways Authority, State Rail Authority, Division of Natural Resources, an adjoining state,  etc.)."
717143,High,,"Store organization responsible for maintaining asset (WVDOT district, Parkways Authority, State Rail Authority, Division of  Natural Resources, an adjoining state, etc.)."
717144,High,,Store sub station or other maintenance shop responsible for maintaining the asset.
717145,High,,Store distance/direction from centerline (for example 15 feet left of the C/L).
717146,High,,"Store lane indicator/designator (fast lane, slow lane, climbing lane, turning lane, etc.)."
717147,High,,Store mile point (within county).
717148,High,,Store latitude.
717149,High,,Store longitude.
717150,High,,Store year constructed or installed.
717151,High,,Store next scheduled inspection date.
717152,High,,Store scheduled replacement date.
,,,"Section:PL-Transportation Asset Inventory, ITS and Comm (14 Reqs)"
717153,High,,Capture and track Intelligent Transportation System (ITS) and communication assets.
717154,High,,"Maintain an inventory of sign systems including fog detection, speed limit, portable-CMS and other condition dependent signing."
717155,High,,Maintain an inventory of closed circuit cameras.
717156,High,,"Maintain an inventory of dynamic message signs including type, size, manufacturer, color, access, mounting type,  communication, model, project number implemented under, etc."
717157,High,,Maintain an inventory of radio towers.
